  3594   1692
   481    362
   501   1252
   510    360
   491   1272
   511    360
   491   1240
   531    370
   511   1240
   511    370
   485   1260
   510    370
   491   1243
   530   1222
   531    370
   491   1261
   491    380
   486   1251
   510   1270
   511   1234
   512   1240
   491    390
   491    380
   491   1268
   490   1260
   491   1240
   515    391
   480    390
   491   1240
   511   1250
   511    380
   485    371
   510    370
   521    370
   491   1263
   491    390
   481    390
   491    380
   511    370
   511    340
   511    390
   491   1264
   490    380
   491    390
   491   1256
   521   1220
   531    360
   491    361
   512   1250
   511    380
   490    390
   481    390
   491    370
   504    391
   490   1240
   511    380
   491    391
   491    380
   491    331
   545    391
   491    360
   511    390
   481    390
   491   1262
   491    380
   491  40085
