  3600   1710
   450    371
   501   1251
   498    381
   501   1245
   503    371
   511   1242
   511    371
   501   1252
   502    380
   502   1251
   500    370
   503   1251
   501   1260
   502    370
   502   1251
   501    370
   502   1260
   493   1252
   511   1243
   513   1251
   502    370
   503    371
   501   1260
   502   1245
   501   1260
   503    371
   501    373
   503   1251
   501   1251
   502    380
   502    370
   501    322
   551    370
   511   1250
   502    370
   502    371
   511    370
   502    372
   502    380
   502    371
   501   1253
   500    370
   501    373
   502   1251
   511    371
   501   1251
   502   1251
   501    381
   501    370
   502    376
   501    370
   502    380
   503    373
   501   1244
   511    370
   502    370
   502    381
   501    370
   502    370
   502    374
   510   1243
   511   1251
   501    372
   501   1250
   502  40046
