  3417   1646
   421    380
   461   1210
   461    381
   461   1213
   462    380
   461   1221
   451    381
   461   1219
   460    380
   451   1223
   461    381
   451   1221
   461   1221
   461    371
  1391    270
   481    378
   461   1210
   461   1220
   461   1221
   461   1211
   462    380
   463    370
   462    380
   454   1221
   461    380
   462   1210
   462    380
   461    380
  1282    391
   461    380
   461    370
   461    380
   459    380
   461   1220
   451   1220
   461    380
   461   1220
   451    380
   461    380
   461    381
   452   1225
   455    381
   461    370
   461    380
  1373    300
   462    380
   461   1221
   452   1221
   461  70441
  3452   1650
   460    380
   451   1220
   461    380
   461   1212
   461    380
   461   1212
   461    381
  1343    340
   451    380
   462   1220
   461    370
   461   1225
   451   1221
   461    381
   461   1210
   461    380
   461   1220
   461   1210
   462   1198
   480   1221
   461    370
  1303    380
   462   1211
   461    382
   462   1220
   452    380
   462    377
   460   1220
   451    381
   461    380
   461    370
   460    380
   461   1221
   461   1220
   451    381
   461    272
   531    410
   461    380
   461    371
   461    380
   462   1220
   451    380
   463    381
   453    381
   461   1220
   453    381
   461   1212
   462   1219
   461  80086
